% (JR001 Airfoil)
44.  44.
%  x/c  y/c upper
0.0000  0.0000
0.0001  0.0008
0.0003  0.0015
0.0006  0.0022
0.0013  0.0035
0.0021  0.0046
0.0042  0.0069
0.0067  0.0091
0.0096  0.0112
0.0135  0.0138
0.0178  0.0164
0.0231  0.0193
0.0284  0.0219
0.0368  0.0255
0.0533  0.0315
0.0691  0.0367
0.0846  0.0412
0.1002  0.0451
0.1161  0.0487
0.1327  0.0521
0.1537  0.0559
0.1767  0.0594
0.2012  0.0624
0.2268  0.0649
0.2527  0.0669
0.2784  0.0681
0.2911  0.0684
0.3035  0.0686
0.3331  0.0683
0.3613  0.0677
0.3881  0.0665
0.4090  0.0654
0.4293  0.0640
0.4556  0.0620
0.4727  0.0605
0.5065  0.0574
0.5356  0.0546
0.5681  0.0512
0.6266  0.0448
0.6894  0.0376
0.7665  0.0286
0.8165  0.0226
0.9058  0.0117
1.0000  0.0000
%  x/c  y/c lower 
0.0000  0.0000
0.0001 -0.0009
0.0003 -0.0016
0.0006 -0.0021
0.0013 -0.0032
0.0021 -0.0041
0.0042 -0.0057
0.0067 -0.0072
0.0096 -0.0086
0.0135 -0.0102
0.0178 -0.0116
0.0231 -0.0130
0.0284 -0.0141
0.0368 -0.0156
0.0533 -0.0176
0.0691 -0.0189
0.0846 -0.0199
0.1002 -0.0207
0.1161 -0.0215
0.1327 -0.0221
0.1537 -0.0225
0.1767 -0.0224
0.2012 -0.0221
0.2268 -0.0214
0.2527 -0.0208
0.2784 -0.0202
0.2911 -0.0199
0.3035 -0.0196
0.3331 -0.0189
0.3613 -0.0183
0.3881 -0.0176
0.4090 -0.0171
0.4293 -0.0166
0.4556 -0.0159
0.4727 -0.0155
0.5065 -0.0146
0.5356 -0.0138
0.5681 -0.0129
0.6266 -0.0112
0.6894 -0.0094
0.7665 -0.0072
0.8165 -0.0057
0.9058 -0.0029
1.0000  0.0000
